影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
医生,金成洪,金成洪,金昌完;裴素恩,惊悚,韩国,韩语,2012-10-13(釜山电影节);2013-06-20(韩国)
匿名者,罗兰·艾默里奇,约翰·奥罗夫,瑞斯·伊凡斯;瓦妮莎·雷德格瑞夫;大卫·休里斯;乔莉·理查德森;拉菲·斯波;杰米·坎贝尔·鲍尔;泽维尔·塞缪尔;爱德华·霍格;塞巴斯蒂安·阿梅斯托,剧情;悬疑;惊悚,英国 / 德国,英语 / 法语 / 意大利语,2011-10-28(美国)
十七岁,周格泰,袁琼琼,任贤齐;贾静雯;石知田;程予希;杨淇;郑暐达;邵雨薇;孙鹏;王道;应采灵;庹宗华;王宇婕;包小柏;黄嘉千;品冠,爱情,台湾,汉语普通话,2015-10-30(中国大陆);2015-05-01(台湾)
十万个冷笑话,卢恒宇;李姝洁,卢恒宇;李姝洁;寒舞,阿杰;皇贞季;宝木中阳;山新;朱雀橙;图特哈蒙;卢恒宇;黎筱蒙,喜剧;动画;奇幻,中国大陆,汉语普通话,2014-12-31(中国大陆)
十万个冷笑话2,卢恒宇;李姝洁,卢恒宇;李姝洁;寒舞;隋佳林;高信影;赵聪,山新;郝祥海;李姝洁;藤新;图特哈蒙;李佳怡;佟心竹;九孔;卢恒宇;宝木中阳,喜剧;动画;奇幻,中国大陆,汉语普通话,2017-08-18(中国大陆)
十三号仓库：2010圣诞特别集,Jack Kenny,D. Brent Mote;Jane Espenson,埃迪·麦克林托克;乔安妮·凯莉;绍尔·鲁宾内克,剧情;科幻,美国,英语,2010-12-07
十二公民,徐昂,李玉娇;韩景龙;徐昂,何冰;韩童生;钱波;赵龙豪;米铁增;高冬平;张永强;李光复;王刚;班赞;刘辉;雷佳,剧情,中国大陆,汉语普通话,2015-05-15(中国大陆);2014-10-19(罗马电影节)
十八洞村,苗月,,王学圻;白威;陈西贝;陈瑾;墨阳,剧情,中国大陆,汉语普通话,2017-10-13(中国大陆)
十八，十九,裴光秀,裴光秀,白珍熙;柳演锡;李英珍,剧情;爱情,韩国,韩语,2012-03-01
十月初五的月光,叶念琛,叶念琛,张智霖;陈乔恩;佘诗曼;薛家燕;唐文龙;马海伦;郑欣宜;林颖彤,剧情;爱情,中国大陆 / 香港,汉语普通话 / 粤语,2015-11-20(中国大陆);2015-11-12(香港)
千万次呼唤,申成涉,,李清美;郑民成,剧情,韩国,韩语,2014-10(韩国)
午夜43路,杜玉贞,杜玉贞,张兆辉;周俊伟;李梓宸;蔡瀚亿;邵音音;潘绍聪;陈颖欣;蔡明思;赵慧珊;许雅婷;陈志健;周家怡;龚慈恩;廖子妤;林芊妤;吳佩孚,惊悚;恐怖,香港,汉语普通话 / 粤语,2015-06-26(中国大陆);2014-09-04(香港)
午夜凶铃3(美版),F·贾维尔·古铁雷斯,大卫·卢卡;雅各布·艾伦·埃斯戴斯;阿齐瓦·高斯曼;铃木光司,玛蒂尔达·鲁茨;亚历克斯·罗伊;约翰尼·盖尔克奇;文森特·多诺费奥;艾米·缇加登;邦妮·摩根;查克·大卫·威利斯;帕特里克·R·沃克;扎齐·罗伊瑞格;劳拉·威金斯;丽兹·布罗谢;凯伦·西塞;大卫·布莱米;迈克尔·桑德斯;兰德尔·泰勒;吉尔·简·克莱门茨,剧情;恐怖,美国,英语,2017-02-01(法国);2017-02-03(美国)
午夜巴黎,伍迪·艾伦,伍迪·艾伦,欧文·威尔逊;玛丽昂·歌迪亚;瑞秋·麦克亚当斯;汤姆·希德勒斯顿;凯西·贝茨;艾德里安·布洛迪;蕾雅·赛杜;麦克·辛;寇瑞·斯托尔;妮娜·阿里安达;米密·肯尼迪;柯特·富勒;卡拉·布吕尼;加德·艾尔马莱;艾丽森·皮尔,剧情;爱情;奇幻,西班牙 / 美国 / 法国,英语 / 法语 / 西班牙语 / 德语,2011-05-13(西班牙);2011-06-10(美国)
午夜梦回,Allen Wolf,Allen Wolf,菲利普·文切斯特;蒂姆·德莱克斯;莱西·沙伯特;阿比盖尔·斯宾赛;贝丝·格兰特,剧情;悬疑;惊悚,美国,英语,2010-04-23(美国)
午夜逃亡,杰夫·尼克尔斯,杰夫·尼克尔斯,迈克尔·珊农;乔尔·埃哲顿;克斯汀·邓斯特;亚当·德赖弗;杰顿·李博赫;山姆·夏普德;斯科特·黑兹;比尔·坎普;保罗·斯帕克斯;丹娜·格瑞尔;韦恩·佩雷;詹姆斯·杜蒙特;比利·斯洛特;加雷特·海因斯;肖恩·布里吉格斯,剧情;科幻;冒险,美国,英语,2016-02-12(柏林电影节);2016-03-18(美国)
午夜邂逅,克里斯·埃文斯,罗纳德·巴斯;珍·斯莫尔卡,克里斯·埃文斯;爱丽丝·伊芙;玛丽亚·布雷曼;斯科特·埃文斯;艾玛·菲茨帕特里克;Mark Kassen;Beth Katehis;Kevin Carolan;Daniel Spink;Allie Woods Jr.;Gerald Bunsen;Fenton Lawless;Turhan Caylak;Elijah Moreland;Paul Monte Jr.,剧情;喜剧;爱情,美国,英语,2014-09-12(多伦多电影节);2015-07-21(网络)
午睡公主,神山健治,神山健治,高畑充希;满岛真之介;古田新太;钉宫理惠;高木涉;前野朋哉;清水理沙;高桥英树;江口洋介,剧情;动画,日本,日语,2017-03-18(日本)
午餐盒,赖舒·彼查,赖舒·彼查;鲁特维克·奥扎,伊尔凡·可汗;Nimrat Kaur;纳瓦祖丁·席迪圭;Denzil Smith;Bharati Achrekar;Nakul Vaid;Yashvi Puneet Nagar;莉蕾特·杜贝;Shruti Bapna;Akash Sinha,剧情;爱情,印度 / 法国 / 德国 / 美国,印地语 Hindi / 英语,2013-09-20(印度)
半熟少女,阿牛;赵宇;陈立谦,李舒程,黄灿灿;敖犬;南笙;王子豪;王子杰;黄诗棋;江倩龄;可晴;弯弯,剧情;爱情,中国大陆,汉语普通话,2016-03-25(中国大陆);2016-02-18(马来西亚)
华丽上班族,杜琪峰,张艾嘉,周润发;张艾嘉;陈奕迅;汤唯;王紫逸;郎月婷;张兆辉;天心;车婉婉;洪天明;朱健钧;龚慈恩,剧情;喜剧;爱情;歌舞,香港 / 中国大陆,汉语普通话 / 粤语 / 英语,2015-09-02(中国大陆);2015-09-24(香港)
华丽的外出,高京娥,高京娥,金善英;边俊石,情色,韩国,韩语,2013-12-05(韩国)
华尔街之狼,马丁·斯科塞斯,特伦斯·温特;乔丹·贝尔福特,莱昂纳多·迪卡普里奥;乔纳·希尔;玛格特·罗比;马修·麦康纳;凯尔·钱德勒;罗伯·莱纳;乔·博恩瑟;让·杜雅尔丹;克里斯汀·米利欧缇;卡塔莉娜·凯斯,剧情;喜剧;传记;犯罪,美国,英语 / 法语,2013-12-17(纽约首映);2013-12-25(美国)
华氏247,Levan Bakhia;Beqa Jguburia,Lloyd S. Wagner;Levan Bakhia (story),丝柯·泰勒-考普顿 Scout Taylor-Compton;迈克尔·科彭;迈克尔·科彭 Michael Copon,剧情;惊悚;恐怖,美国,英语,2011-09-01(美国)
华盛顿邮报,史蒂文·斯皮尔伯格,丽兹·汉娜;乔希·辛格,梅丽尔·斯特里普;汤姆·汉克斯;莎拉·保罗森;鲍勃·奥登科克;崔西·莱茨;布莱德利·惠特福德;布鲁斯·格林伍德;马修·瑞斯;爱丽森·布里;凯莉·库恩;杰西·普莱蒙;大卫·克罗斯;扎克·伍兹;帕特·希利;约翰·鲁;里克·霍姆斯;菲利普·卡斯诺夫;杰茜·缪勒;斯塔克·桑德斯;迈克尔·西里尔·克赖顿;威尔·丹顿;迪尔德丽·罗夫乔;迈克尔·斯图巴,剧情;惊悚;传记;历史,美国,英语,2017-12-22(美国点映);2018-01-12(美国)
华颐：吞噬怪物的孩子,张俊焕,张俊焕,金允石;吕珍九;赵震雄;南志铉;柳演锡;金成钧;李璟荣;张铉诚;朴海俊;朴勇宇;李泰林;金英民,动作;惊悚,韩国,韩语,2013-10-09(韩国)
单亲度假村,弗兰克·克拉斯,伊万·文谢尔;克莱尔·塞拉,亚当·桑德勒;德鲁·巴里摩尔;凯文·尼龙;泰瑞·克鲁斯;温迪·麦克伦登-考威;艾玛·福尔曼;贝拉·索恩;布拉克斯顿·贝克汉姆;阿利维亚·阿林·林德;乔尔·麦克哈尔;阿卜杜拉耶·恩戈姆;凯尔·西尔弗斯坦;扎克·亨利;杰西卡·洛威;沙奎尔·奥尼尔,喜剧,美国,英语,2014-05-23(美国)
单人夜曲,Marcelo Briem Stamm,Marcelo Briem Stamm,帕特里西奥·拉莫斯;马里奥·贝隆;卡洛斯·埃切维里亚;Laura Agorreca;Mike Zubi,悬疑;同性,阿根廷,西班牙语,
单身指南,克利斯汀·迪特,艾比·科恩;马克·西尔弗斯坦;达纳·福克斯;丽兹·塔琪萝,达科塔·约翰逊;蕾蓓尔·威尔森;爱丽森·布里;莱斯利·曼恩;小达蒙·韦恩斯;安德雷斯·霍尔姆;尼可拉斯·博朗;杰克·莱西;杰森·曼兹沃克斯;科林·乔斯特;尼克·贝特曼;莎拉·拉莫斯,喜剧;爱情,美国,英语,2016-02-12(美国)
单身日记：好孕来袭,莎伦·马奎尔,海伦·费尔丁;丹·马泽;艾玛·汤普森,蕾妮·齐薇格;科林·费尔斯;帕特里克·德姆西;吉姆·布劳德本特;艾玛·汤普森;雪莉·亨德森;艾德·希兰;西莉亚·伊姆里;詹姆斯·卡利斯;拉斯科·阿特金斯;杰玛·琼斯;本·威尔邦德;丹尼尔·斯蒂森;恩佐·科伦蒂;莎莉·菲利普斯;乔蕾·科斯,喜剧;爱情,英国 / 美国 / 法国 / 爱尔兰,英语,2017-01-01(中国大陆);2016-09-16(美国/英国)
单身男女2,杜琪峰,韦家辉;陈伟斌;余曦,古天乐;杨千嬅;高圆圆;周渝民;吴彦祖;林雪,喜剧;爱情,香港 / 中国大陆,汉语普通话 / 粤语,2014-11-11(中国大陆);2014-11-13(香港)
单身男子,汤姆·福特,汤姆·福特;克里斯托弗·艾什伍德,科林·费尔斯;朱丽安·摩尔;尼古拉斯·霍尔特;马修·古迪;金妮弗·古德温;芮安·辛普金斯;李·佩斯;洪·科塔哈雷纳;伊莉莎白·哈诺伊斯,剧情;同性,美国,英语 / 西班牙语,2009-12-11
单身的人上天堂,曹圣奎,曹圣奎,崔允素,剧情;爱情,韩国,韩语,2012-06-21(韩国)
单身骑士,李祖英,李祖英,李秉宪;孔晓振;安昭熙;本尼迪克·哈迪;杰克·坎贝尔;凯茨·托马斯,剧情,韩国 / 澳大利亚,韩语,2017-02-22(韩国)
单车少年,让-皮埃尔·达内;吕克·达内,吕克·达内;让-皮埃尔·达内,塞西尔·德·弗朗斯;托马斯·多雷;杰瑞米·雷乃;法布里齐奥·隆吉奥内;埃贡·迪·马特奥;奥利维埃·古尔梅,剧情,比利时 / 法国 / 意大利,法语,2011-05-18(法国)
南京大屠杀,陆达路,,,,美国,汉语普通话 / 英语,
南方大作战,林顺礼,李桂碧;罗贤;金允石;奥田英朗,金允石;吴妍秀;金成钧;韩艺礼,剧情;喜剧,韩国,韩语,2013-02-07(韩国)
南极之恋,吴有音,吴有音,赵又廷;杨子姗,爱情;冒险,中国大陆,汉语普通话,2018-02-01(中国大陆)
南汉山城,黄东赫,黄东赫,金允石;李秉宪;朴海日;高修;朴熙顺;赵宇镇;李大为;金範來;许成泰,剧情;历史;战争,韩国,韩语,2017-10-03(韩国)
南营洞1985,郑智泳,郑智泳,朴元尚;李璟荣;李天熙,剧情,韩国,韩语,2012-11-22(韩国)
博学无术,Vahe Gabuchian,Jorge Cham,Raj Katti;Alexandra Lockwood,剧情,美国,英语,
博格对战麦肯罗,扬努斯·梅兹·彼得森,罗尼·桑达尔,希亚·拉博夫;斯瓦利尔·古德纳松;斯特兰·斯卡斯加德;图娃·诺沃妮;戴维·鲍姆伯;罗伯特·埃姆斯;简·佩里;比约恩·格拉纳特;科林·斯廷顿;迪米特里·格里特萨斯;克拉斯·永马克,剧情;传记;运动,瑞典 / 丹麦 / 芬兰,瑞典语 / 英语 / 法语 / 德语 / 西班牙语,2017-09-07(多伦多电影节);2017-09-08(瑞典)
博物馆奇妙夜3,肖恩·利维,大卫·盖恩;迈克尔·汉德尔曼;马克·弗里德曼;托马斯·列农;罗伯特·本·加兰特,本·斯蒂勒;罗宾·威廉姆斯;欧文·威尔逊;史蒂夫·库根;瑞奇·热维斯;丹·史蒂文斯;蕾蓓尔·威尔森;斯凯勒·吉桑多;拉米·马雷克;派崔克·盖勒;米苏·贝克;本·金斯利;水晶;迪克·范·戴克;米基·鲁尼;休·杰克曼,喜剧;奇幻;冒险,美国 / 英国,英语 / 匈奴语,2015-01-04(中国大陆);2014-12-17(埃及);2014-12-19(美国)
占卜师们,申政元,,金秀路;李帝勋;姜艺媛,喜剧;恐怖,韩国,韩语,2012-10-03(韩国)
卡普尔家的儿子们,沙昆·巴特拉,沙昆·巴特拉;阿沙·德维特,施坦·马洛萨;阿莉雅·布哈特;法瓦德·可汗;里希·卡普尔;拉贾特·卡普尔;拉特纳·帕塔克;苏坎·戈尔;桑杰·达特,剧情;喜剧;爱情,印度,印地语,2016-03-18(美国/印度)
卡罗尔,托德·海因斯,菲丽丝·奈吉;派翠西亚·海史密斯,凯特·布兰切特;鲁妮·玛拉;凯尔·钱德勒;杰克·莱西;莎拉·保罗森;约翰·马加罗;科里·迈克尔·史密斯;凯文·克劳利;凯瑞·布朗斯腾,剧情;爱情;同性,英国 / 美国,英语,2015-05-17(戛纳电影节);2015-11-27(英国);2016-01-15(美国)
卡车上掉下的小提琴,江澄,,赵亮;果静临;吴辰君,剧情,中国大陆,汉语普通话,2003-03-07
卧底巨星,谷德昭,谷德昭;陈茂贤;冯勉恒,陈奕迅;李荣浩;李一桐;陈国坤;崔志佳;许绍雄;刘浩龙;田启文;克里斯·柯林斯;马志威;李聪,喜剧;动作,中国大陆 / 香港,汉语普通话,2018-01-12(中国大陆)
卧虎藏龙：青冥宝剑,袁和平,约翰·福斯克;王度庐,甄子丹;杨紫琼;岑勇康;刘承羽;李截;原丽淇;吴青芸;袁之正;陈钰芸;朴云龙;关永扬;吴育刚;张舒雅,剧情;动作;武侠;古装,中国大陆 / 美国,英语,2016-02-19(中国大陆);2016-02-26(美国)
卫生间的圣母像,松永大司,松永大司;手冢治虫,野田洋次郎;杉咲花;中川雅也;古馆宽治;市川纱椰;森下能幸;泽田陆;Megumi;岩松了;大竹忍;宫泽理惠,剧情,日本,日语,2015-06-06(日本)
印度超人3,Rakesh Roshan,Rakesh Roshan;Robin Bhatt,Hrithik Roshan;Rekha;Riya Sen,科幻,印度,印地语,2013-11-01(印度)
印式英语,高里·辛蒂,高里·辛蒂,希里黛玉;阿迪勒·侯赛因;梅迪·内博;普莱亚·阿南德;Sulabha Deshpande;Michael Patrick Hoban;Sujatha Kumar;Navika Kotia;Shivansh Kotia;Cory Hibbs;拉杰夫·拉宾德拉纳特安;Maria Romano;萨米特·维亚斯;Ruth Aguilar;罗斯·内森,剧情;喜剧;家庭,印度,英语 / 泰米尔语 / 印地语 / 法语,2012-10-05(印度)
印第安纳波利斯号：勇者无惧,马里奥·范·皮布尔斯,卡姆·坎农;理查德·瑞欧达·德尔·卡斯特罗,尼古拉斯·凯奇;汤姆·塞兹摩尔;托马斯·简;马特·兰特尔;詹姆斯·瑞马尔;布莱恩·普莱斯列;艾米丽·坦南特;亚当·思格特·米勒;柯迪·沃克;竹内东,动作;战争,美国,英语,2016-10-14(美国)
危城,陈木胜,陈木胜;王道;谭惠贞;唐耀良;简怡珏,刘青云;古天乐;彭于晏;吴京;袁泉;江疏影;廖启智;释彦能;姜皓文;吴廷烨;洪天照;孙蛟龙;李菁;马志威;罗浩铭;张竣杰;周天宝;王宇;张浩;王礴;尼利特龙;刘嘉艺;谢宁;萧松原;洪金宝,剧情;动作;犯罪;武侠;古装,中国大陆 / 香港,汉语普通话,2016-08-12(中国大陆)
危机13小时,迈克尔·贝,查克·霍根;米切尔·朱可夫,詹姆斯·戴尔;约翰·卡拉辛斯基;马克斯·马蒂尼;多米尼克·福穆萨;巴勃罗·施瑞博尔;大卫·丹曼;马特·莱斯切尔;托比·斯蒂芬斯;艾莉克西娅·芭利尔;弗雷迪·史卓玛;大卫·科斯塔贝尔;莉莎·伊娃斯蒂娜;安德烈·克劳德;大卫·君图力,剧情;动作;惊悚;战争,美国,英语,2016-01-15(美国)
危机大逆袭,大卫·戈登·格林,彼特·斯特劳恩;蕾切尔·波恩顿,桑德拉·布洛克;比利·鲍伯·松顿;安东尼·麦凯;乔昆姆·德·阿尔梅达;佐伊·卡赞;斯科特·麦克纳里;安·唐德;卡梅拉·孙巴多;山姆·麦地那;约翰·阿米乔;斯嘉丽特·米尔罗尼;路易斯·查韦斯,剧情;喜剧,美国,英语 / 西班牙语,2015-10-30(美国)
危机最前线,科斯塔-加夫拉斯,Tom Matthews,约翰·特拉沃尔塔;达斯汀·霍夫曼;阿伦·阿尔达;米娅·科施娜;泰德·拉文,剧情;惊悚,美国,英语,1997-10-10
危楼愚夫,尤里·贝科夫,尤里·贝科夫,阿尔焦姆·贝斯特罗夫;娜塔莉亚·苏尔科娃;尤里·楚里洛;鲍里斯·涅夫佐罗夫;基里尔·波卢欣;亚历山大·科尔舒诺夫;奥尔嘉·萨莫希纳;达里娅·莫罗兹;谢尔盖·阿尔齐巴舍夫;叶莲娜·维克托罗夫娜·帕诺娃;德米特里·库利奇科夫;伊利亚·伊萨耶夫;马克西姆·平斯克尔;柳博夫·鲁坚科;伊丽娜·尼齐纳;戈尔戴·科勃泽夫;彼得·巴兰切耶夫,剧情,俄罗斯,俄语,2014-08-09(洛迦诺电影节);2014-12-11(俄罗斯)
危险的传言,金光植,金光植,金康宇;朴圣雄;安圣基;郑镇荣;高昌锡;高媛熙,剧情;犯罪,韩国,韩语,2014-02-20(韩国)
危险的见面礼,金镇英,申汉率,宋诗曦;李诗英,喜剧;爱情,韩国,韩语,2011-03-31(韩国)
危险的见面礼2,金镇英,赵重勋,陈世妍;洪宗玄,剧情;喜剧;动作;爱情;犯罪,韩国,韩语,2015-04-29(韩国)
危险行为,萨姆·米勒,艾梅·拉各斯,伊德里斯·艾尔巴;塔拉吉·P·汉森;凯特·德尔·卡斯蒂洛;亨利·西蒙斯;肯尼思·安格;莱丝莉·比伯;维布尔·弗利茨杰拉德;弗兰克·布伦南;肯尼·阿方索,惊悚;恐怖;犯罪,美国,英语,2014-09-12(美国)
危险辩护,约翰·克劳利,斯蒂文·奈特,艾瑞克·巴纳;丽贝卡·豪尔;塞伦·希德;里兹·阿迈德;安-玛莉·杜芙;肯尼思·库兰汉姆;丹尼斯·莫斯奇托;朱丽娅·斯蒂尔斯;吉姆·布劳德本特,悬疑;惊悚;犯罪,英国 / 美国,英语,2013-08-28(美国);2013-11-01(英国)
厕所英雄,什里·那拉扬·辛,格丽玛;西达尔特,阿克谢·库玛尔;阿努潘·凯尔;布米·佩德卡尔;拉什·沙玛;萨钦·克德卡;莎娜·可汗;迪韦严杜·沙玛,剧情;喜剧,印度,印地语,2017-08-11(印度)
原始恐惧,Josh Reed,Josh Reed;Nigel Christensen,Zoe Tuckwell-Smith;Krew Boylan;Lindsay Farris,惊悚;恐怖,澳大利亚,英语,2011-05-07(日本)
原谅他77次,邱礼涛,李敏,蔡卓妍;周柏豪;诗雅;钟欣潼;卢巧音;郑希怡;雷琛瑜;郑诗君;陆永;林盛斌;小肥;惠英红;吴镇宇;郑丹瑞;李蕙敏;泰臣;孙佳君;韦罗莎;黄秋生,爱情,香港 / 中国大陆,粤语,2017-06-23(中国大陆);2017-03-10(大阪亚洲电影节);2017-06-15(香港)
原野四十九日,大林宣彦,长谷川孝治;大林宣彦;内藤忠司,品川彻;常盘贵子;村田雄浩;寺岛咲;松重丰;洼冢俊介;山崎纮菜;柴山智加;内田周作;细山田隆人;小笠原真理子;イ?ヨンスク;大久保運;小磯勝弥;斉藤とも子;猪股南;相澤一成;パスカルズ;根岸季衣;原田夏希;左时枝;安达祐实;伊藤孝雄,剧情,日本,日语,2014-03-02(夕张国际电影节);2014-05-17(日本);2014-06-14(上海国际电影节)
去往蒙巴萨的单程票,Hannu Tuomainen,Atro Lahtela;Hannu Tuomainen,Antti Tarvainen;Joonas Saartamo;Johanna R?nnl?f,剧情;喜剧,芬兰,芬兰语,2003-11-16
去见小洋葱的母亲,森崎东,阿久根知昭;冈野雄一;森崎东,岩松了;赤木春惠;原田贵和子;加濑亮;竹中直人;大和田健介;松本若菜;原田知世;温水洋一,剧情;喜剧;家庭,日本,日语,2013-11-16(日本)
去见瀑布,冲田修一,冲田修一,根岸遙子;安澤千草;荻野百合子;桐原三枝;川田久美子;德納敬子;渡辺道子;黒田大輔,剧情,日本,日语,2014-11-22(日本)
去里斯本的夜车,比利·奥古斯特,Ulrich Herrmann;Greg Latter;Pascal Mercier(小说作者),杰瑞米·艾恩斯;杰克·休斯顿;汤姆·康特奈;布鲁诺·甘茨;莉娜·奥琳;夏洛特·兰普林;奥古斯特·迪尔;克里斯托弗·李;马蒂娜·格德克;梅拉尼·罗兰,爱情;悬疑,德国 / 瑞士 / 葡萄牙,英语,2013-03-07(德国)
双子的天空,麦克·鲍力施,马克·鲍力施;麦克·鲍力施,马克·鲍力施;麦克·鲍力施;米歇尔·希克斯,剧情,美国,英语,2000-11-02
双峰镇：遗失的碎片,大卫·林奇,大卫·林奇,克里斯·艾塞克;基弗·萨瑟兰;凯尔·麦克拉克伦;大卫·鲍伊,剧情;爱情;悬疑,美国 / 法国,英语,2014-06-16(美国)
双生薄荷,内田英治,内田英治;中村明日美子,渊上泰史;田中俊介;须贺健太;川笼石骏平;富手麻妙;毎熊克哉;一濑绫子;川崎美海;菅原大吉;高桥和也;小木茂光,剧情;同性,日本,日语 / 韩语,2017-06-03(日本)
双腿生风,Carine Tardieu,Carine Tardieu;Rapha?le Moussafir,阿涅丝·夏薇依;Denis Podalydès;Isabelle Carré;Isabella Rossellini;Juliette Gombert,喜剧,法国,法语,2012-08-22(法国)
双面劫匪,斯科特·曼,蒂芬·赛勒斯·沙斐;麦克斯·亚当斯,杰弗里·迪恩·摩根;罗伯特·德尼罗;凯特·波茨沃斯;戴夫·巴蒂斯塔;摩里斯·切斯塔特;吉娜·卡拉诺;马克-保罗·戈塞拉;D·B·斯威尼;萨默尔·阿尔提丝;阿莉莎·茱莉亚·史密斯;罗茜·费尔纳;兰斯·E·尼克尔斯,动作;惊悚;犯罪,美国,英语,2017-12-08(中国大陆);2015-11-13(美国)
双面劳伦斯,泽维尔·多兰,泽维尔·多兰,梅尔维尔·珀波;苏珊娜·克莱蒙;纳塔莉·贝伊;莫妮亚·肖克里,剧情;爱情,加拿大,法语,2012-07-18(法国)
双面情人,弗朗索瓦·欧容,乔伊思·卡罗尔·奥特兹;弗朗索瓦·欧容;菲利普·皮亚佐,玛丽恩·瓦科特;杰瑞米·雷乃;杰奎琳·比塞特;米丽娅姆·博耶;多米尼克·雷蒙;安托万·德·拉·莫利内利;让-保尔·米埃尔;贝诺提·吉欧斯,剧情;爱情;惊悚,法国 / 比利时,法语,2017-05-26(戛纳电影节/法国)
